doi,collection_date,abstract_views,full_text_views,pdf_downloads
10.1101/2019.12.11.873265,Apr 2020,523,33,91
10.1101/2019.12.11.873273,Dec 2019,398,7,56
10.1101/2019.12.11.873273,Jan 2020,51,8,16
10.1101/2019.12.11.873273,Feb 2020,41,18,8
10.1101/2019.12.11.873273,Mar 2020,36,14,13
10.1101/2019.12.11.873273,Apr 2020,13,2,8
10.1101/2019.12.11.873281,Dec 2019,967,37,321
10.1101/2019.12.11.873281,Jan 2020,89,15,37
10.1101/2019.12.11.873281,Feb 2020,69,19,31
10.1101/2019.12.11.873281,Mar 2020,57,12,24
10.1101/2019.12.11.873281,Apr 2020,18,7,34
10.1101/2019.12.11.873299,Dec 2019,560,15,139
10.1101/2019.12.11.873299,Jan 2020,107,27,57
10.1101/2019.12.11.873299,Feb 2020,73,27,34
10.1101/2019.12.11.873299,Mar 2020,63,15,32
10.1101/2019.12.11.873299,Apr 2020,49,9,71
10.1101/2019.12.11.873307,Dec 2019,423,5,71
10.1101/2019.12.11.873307,Jan 2020,86,21,33
10.1101/2019.12.11.873307,Feb 2020,48,19,14
10.1101/2019.12.11.873307,Mar 2020,38,12,11
10.1101/2019.12.11.873307,Apr 2020,13,10,15
10.1101/2019.12.11.873323,Dec 2019,452,7,63
10.1101/2019.12.11.873323,Jan 2020,180,9,40
10.1101/2019.12.11.873323,Feb 2020,92,48,14
10.1101/2019.12.11.873323,Mar 2020,39,20,21
10.1101/2019.12.11.873323,Apr 2020,23,3,9
10.1101/2019.12.11.873349,Dec 2019,1214,182,327
10.1101/2019.12.11.873349,Jan 2020,278,28,94
10.1101/2019.12.11.873349,Feb 2020,201,27,56
10.1101/2019.12.11.873349,Mar 2020,105,29,37
10.1101/2019.12.11.873349,Apr 2020,75,24,31
10.1101/2019.12.11.873356,Dec 2019,581,6,134
10.1101/2019.12.11.873356,Jan 2020,146,11,56
10.1101/2019.12.11.873356,Feb 2020,64,17,22
10.1101/2019.12.11.873356,Mar 2020,62,9,17
10.1101/2019.12.11.873356,Apr 2020,29,5,12
10.1101/2019.12.11.873372,Dec 2019,525,31,161
10.1101/2019.12.11.873372,Jan 2020,161,27,43
10.1101/2019.12.11.873372,Feb 2020,155,36,26
10.1101/2019.12.11.873372,Mar 2020,132,20,28
10.1101/2019.12.11.873372,Apr 2020,95,33,24
10.1101/2019.12.11.873398,Dec 2019,2958,102,992
10.1101/2019.12.11.873398,Jan 2020,858,146,256
10.1101/2019.12.11.873398,Feb 2020,451,141,171
10.1101/2019.12.11.873398,Mar 2020,394,155,185
10.1101/2019.12.11.873398,Apr 2020,351,115,215
10.1101/2019.12.11.873422,Dec 2019,338,7,104
