doi,comments_count
10.1101/19010678,0
10.1101/19010702,0
10.1101/19010710,0
10.1101/19010728,0
10.1101/19010736,0
10.1101/19010769,0
10.1101/19010777,0
10.1101/19010785,0
10.1101/19010801,0
10.1101/19010827,0
10.1101/19010835,0
10.1101/19010843,0
10.1101/19010850,1
10.1101/19010876,0
10.1101/19010900,0
10.1101/19010926,0
10.1101/19010934,0
10.1101/19010975,0
10.1101/19010991,0
10.1101/19011007,0
10.1101/19011015,0
10.1101/19011023,0
10.1101/19011031,0
10.1101/19011049,0
10.1101/19011064,0
10.1101/19011072,0
10.1101/19011080,0
10.1101/19011114,0
10.1101/19011130,0
10.1101/19011148,0
10.1101/19011155,0
10.1101/19011171,0
10.1101/19011189,0
10.1101/19011197,0
10.1101/19011213,0
10.1101/19011221,0
10.1101/19011262,0
10.1101/19011270,0
10.1101/19011296,0
10.1101/19011312,0
10.1101/19011320,0
10.1101/19011338,0
10.1101/19011353,0
10.1101/19011361,0
10.1101/19011379,0
10.1101/19011387,0
10.1101/19011403,0
10.1101/19011411,0
10.1101/19011437,0
10.1101/19011445,0
10.1101/19011452,0
10.1101/19011460,0
10.1101/19011528,0
10.1101/19011536,0
10.1101/19011577,0
10.1101/19011593,0
10.1101/19011601,0
10.1101/19011619,0
10.1101/19011635,0
10.1101/19011643,0
10.1101/19011676,0
10.1101/19011692,0
10.1101/19011700,0
10.1101/19011734,0
10.1101/19011759,0
10.1101/19011775,0
10.1101/19011791,0
10.1101/19011825,0
10.1101/19011833,0
10.1101/19011841,0
10.1101/19011858,0
10.1101/19011866,0
10.1101/19011874,0
10.1101/19011882,0
10.1101/19011908,0
10.1101/19011916,0
10.1101/19011924,0
10.1101/19011932,0
10.1101/19011940,0
10.1101/19011957,0
10.1101/19011965,0
10.1101/19011973,0
10.1101/19011981,0
10.1101/19011999,0
10.1101/19012005,0
10.1101/19012013,0
10.1101/19012021,0
10.1101/19012039,0
10.1101/19012047,0
10.1101/19012054,0
10.1101/19012062,0
10.1101/19012088,0
10.1101/19012096,0
10.1101/19012104,0
10.1101/19012112,0
10.1101/19012138,0
10.1101/19012146,0
10.1101/19012153,0
10.1101/19012161,0
10.1101/19012179,0
10.1101/19012195,0
10.1101/19012203,0
10.1101/19012211,0
10.1101/19012229,0
10.1101/19012237,0
10.1101/19012245,0
10.1101/19012252,0
10.1101/19012260,0
10.1101/19012278,0
10.1101/19012286,0
10.1101/19012294,0
10.1101/19012302,0
10.1101/19012328,0
10.1101/19012336,0
10.1101/19012344,0
10.1101/19012377,0
10.1101/19012385,0
10.1101/19012393,0
10.1101/19012401,0
10.1101/19012419,0
10.1101/19012427,0
10.1101/19012435,0
10.1101/19012443,0
10.1101/19012450,0
10.1101/19012468,0
10.1101/19012476,0
10.1101/19012484,0
10.1101/19012518,0
10.1101/19012559,0
10.1101/19012567,0
10.1101/19012583,0
10.1101/19012591,0
10.1101/19012617,0
10.1101/19012625,0
10.1101/19012633,0
10.1101/19012674,0
10.1101/19012682,0
10.1101/19012690,0
10.1101/19012724,0
10.1101/19012732,0
10.1101/19012765,0
10.1101/19012773,0
10.1101/19012781,0
10.1101/19012807,0
10.1101/19012823,0
10.1101/19012856,0
10.1101/19012872,0
10.1101/19012880,0
10.1101/19012906,0
10.1101/19012963,0
10.1101/19012997,0
10.1101/19013003,0
10.1101/19013011,0
10.1101/19013029,0
10.1101/19013037,0
10.1101/19013060,0
10.1101/19013078,0
10.1101/19013086,0
10.1101/19013136,0
10.1101/19013151,0
10.1101/19013177,0
10.1101/19013193,0
10.1101/19013227,0
10.1101/19013243,0
10.1101/19013268,0
10.1101/19013284,0
10.1101/19013292,0
10.1101/19013300,0
10.1101/19013318,0
10.1101/19013326,0
10.1101/19013342,0
10.1101/19013367,0
10.1101/19013383,0
10.1101/19013433,0
10.1101/19013441,0
10.1101/19013458,0
10.1101/19013466,0
10.1101/19013474,0
10.1101/19013516,0
10.1101/19013524,0
10.1101/19013540,0
10.1101/19013557,0
10.1101/19013573,0
10.1101/19013599,0
10.1101/19013607,0
10.1101/19013623,0
10.1101/19013631,0
10.1101/19013656,0
10.1101/19013730,0
10.1101/19013748,0
10.1101/19013755,0
10.1101/19013763,0
10.1101/19013771,0
10.1101/19013797,0
10.1101/19013813,0
10.1101/19013821,0
10.1101/19013839,0
10.1101/19013854,0
10.1101/19013870,0
10.1101/19013912,0
10.1101/19013920,0
10.1101/19013987,0
10.1101/19014043,0
10.1101/19014100,0
10.1101/19014118,0
10.1101/19014134,0
10.1101/19014175,0
10.1101/2019.12.01.19013615,0
10.1101/2019.12.04.19013888,0
10.1101/2019.12.04.19013896,0
10.1101/2019.12.06.868182,0
10.1101/2019.12.07.19011429,0
10.1101/2019.12.08.19013979,0
10.1101/2019.12.08.19014167,0
10.1101/2019.12.08.868828,0
10.1101/2019.12.09.19013334,0
10.1101/2019.12.09.19013672,0
10.1101/2019.12.09.19014183,1
10.1101/2019.12.09.19014225,0
10.1101/2019.12.09.19014233,0
10.1101/2019.12.09.19014258,0
10.1101/2019.12.09.869412,0
10.1101/2019.12.09.869511,0
10.1101/2019.12.09.869933,0
10.1101/2019.12.10.19013680,0
10.1101/2019.12.10.19013938,0
10.1101/2019.12.10.19014159,0
10.1101/2019.12.10.19014266,0
10.1101/2019.12.10.19014282,0
10.1101/2019.12.10.19014357,0
10.1101/2019.12.10.19014365,0
10.1101/2019.12.10.19014423,0
10.1101/2019.12.10.870121,0
10.1101/2019.12.10.871905,0
10.1101/2019.12.10.872275,0
10.1101/2019.12.11.19013649,0
10.1101/2019.12.11.19013953,0
10.1101/2019.12.11.19014290,0
10.1101/2019.12.11.19014308,0
10.1101/2019.12.11.19014399,0
10.1101/2019.12.11.19014431,0
10.1101/2019.12.11.19014449,0
10.1101/2019.12.11.19014472,0
10.1101/2019.12.11.19014522,0
10.1101/2019.12.11.19014530,0
10.1101/2019.12.11.19014571,0
10.1101/2019.12.11.19014597,0
10.1101/2019.12.11.860585,0
10.1101/2019.12.11.861377,0
10.1101/2019.12.11.865972,0
10.1101/2019.12.11.869693,0
10.1101/2019.12.11.871210,0
10.1101/2019.12.11.871335,0
10.1101/2019.12.11.871681,0
10.1101/2019.12.11.871699,0
10.1101/2019.12.11.871855,0
10.1101/2019.12.11.872051,1
10.1101/2019.12.11.872143,0
10.1101/2019.12.11.872218,0
10.1101/2019.12.11.872267,0
10.1101/2019.12.11.872424,0
10.1101/2019.12.11.872432,0
10.1101/2019.12.11.872457,0
10.1101/2019.12.11.872481,0
10.1101/2019.12.11.872515,0
10.1101/2019.12.11.872556,0
10.1101/2019.12.11.872564,0
10.1101/2019.12.11.872580,0
10.1101/2019.12.11.872606,0
10.1101/2019.12.11.872630,0
10.1101/2019.12.11.872705,0
10.1101/2019.12.11.872721,0
10.1101/2019.12.11.872747,0
10.1101/2019.12.11.872754,0
10.1101/2019.12.11.872788,0
10.1101/2019.12.11.872804,0
10.1101/2019.12.11.872812,0
10.1101/2019.12.11.872838,0
10.1101/2019.12.11.872861,3
10.1101/2019.12.11.872887,0
10.1101/2019.12.11.872895,2
10.1101/2019.12.11.872903,0
10.1101/2019.12.11.872929,0
10.1101/2019.12.11.872937,0
10.1101/2019.12.11.872945,0
10.1101/2019.12.11.872978,0
10.1101/2019.12.11.872986,2
10.1101/2019.12.11.872994,0
10.1101/2019.12.11.873000,0
10.1101/2019.12.11.873018,0
10.1101/2019.12.11.873034,0
10.1101/2019.12.11.873042,0
10.1101/2019.12.11.873075,0
10.1101/2019.12.11.873133,1
10.1101/2019.12.11.873174,0
10.1101/2019.12.11.873182,0
10.1101/2019.12.11.873190,0
10.1101/2019.12.11.873208,0
10.1101/2019.12.11.873224,0
10.1101/2019.12.11.873240,0
10.1101/2019.12.11.873257,0
10.1101/2019.12.11.873265,0
10.1101/2019.12.11.873273,0
10.1101/2019.12.11.873281,0
10.1101/2019.12.11.873299,0
10.1101/2019.12.11.873307,0
10.1101/2019.12.11.873323,0
10.1101/2019.12.11.873349,0
10.1101/2019.12.11.873356,0
10.1101/2019.12.11.873372,0
10.1101/2019.12.11.873398,0
10.1101/2019.12.11.873422,1
10.1101/2019.12.11.873471,0
10.1101/2019.12.11.873505,0
10.1101/2019.12.11.873513,0
10.1101/2019.12.11.873521,0
10.1101/2019.12.11.873554,0
10.1101/2019.12.11.873562,1
10.1101/2019.12.11.873695,0
10.1101/2019.12.11.873711,0
10.1101/2019.12.12.19014324,0
10.1101/2019.12.12.19014555,0
10.1101/2019.12.12.19014621,0
10.1101/2019.12.12.19014647,0
10.1101/2019.12.12.19014662,0
10.1101/2019.12.12.19014696,0
10.1101/2019.12.12.19014712,0
10.1101/2019.12.12.19014720,0
10.1101/2019.12.12.19014738,0
10.1101/2019.12.12.19014746,0
10.1101/2019.12.12.19014761,0
10.1101/2019.12.12.19014829,0
10.1101/2019.12.12.865014,0
10.1101/2019.12.12.866210,0
10.1101/2019.12.12.868489,0
10.1101/2019.12.12.870840,0
10.1101/2019.12.12.871269,0
10.1101/2019.12.12.871657,0
10.1101/2019.12.12.871756,0
10.1101/2019.12.12.871947,0
10.1101/2019.12.12.872085,0
10.1101/2019.12.12.872366,1
10.1101/2019.12.12.872390,0
10.1101/2019.12.12.872622,0
10.1101/2019.12.12.872739,0
10.1101/2019.12.12.873117,0
10.1101/2019.12.12.873315,0
10.1101/2019.12.12.873414,0
10.1101/2019.12.12.873497,0
10.1101/2019.12.12.873570,1
10.1101/2019.12.12.873604,0
10.1101/2019.12.12.873679,0
10.1101/2019.12.12.873794,0
10.1101/2019.12.12.873802,0
10.1101/2019.12.12.873810,0
10.1101/2019.12.12.873844,0
10.1101/2019.12.12.873851,0
10.1101/2019.12.12.873877,0
10.1101/2019.12.12.873885,0
10.1101/2019.12.12.873893,0
10.1101/2019.12.12.873901,0
10.1101/2019.12.12.873919,0
10.1101/2019.12.12.873927,0
10.1101/2019.12.12.873950,0
10.1101/2019.12.12.873968,0
10.1101/2019.12.12.873976,0
10.1101/2019.12.12.873984,0
10.1101/2019.12.12.873992,0
10.1101/2019.12.12.874008,0
10.1101/2019.12.12.874016,0
10.1101/2019.12.12.874032,0
10.1101/2019.12.12.874081,0
10.1101/2019.12.12.874107,0
10.1101/2019.12.12.874115,0
10.1101/2019.12.12.874123,0
10.1101/2019.12.12.874149,0
10.1101/2019.12.12.874164,0
10.1101/2019.12.12.874172,0
10.1101/2019.12.12.874198,0
10.1101/2019.12.12.874206,0
10.1101/2019.12.12.874214,0
10.1101/2019.12.12.874222,0
10.1101/2019.12.12.874230,0
10.1101/2019.12.12.874248,0
10.1101/2019.12.12.874271,0
10.1101/2019.12.12.874289,0
10.1101/2019.12.12.874297,0
10.1101/2019.12.12.874305,0
10.1101/2019.12.12.874313,0
10.1101/2019.12.12.874321,0
10.1101/2019.12.12.874354,0
10.1101/2019.12.12.874396,0
10.1101/2019.12.12.874404,0
10.1101/2019.12.12.874412,0
10.1101/2019.12.12.874446,0
10.1101/2019.12.12.874461,0
10.1101/2019.12.12.874479,0
10.1101/2019.12.12.874503,1
10.1101/2019.12.12.874511,0
10.1101/2019.12.12.874529,0
10.1101/2019.12.12.874578,1
10.1101/2019.12.12.874586,0
10.1101/2019.12.12.874594,0
10.1101/2019.12.12.874602,0
10.1101/2019.12.12.874628,0
10.1101/2019.12.12.874636,0
10.1101/2019.12.12.874644,0
10.1101/2019.12.12.874677,0
10.1101/2019.12.12.874685,0
10.1101/2019.12.12.874701,0
10.1101/2019.12.12.874719,2
10.1101/2019.12.12.874727,0
10.1101/2019.12.12.874735,1
10.1101/2019.12.12.874784,0
10.1101/2019.12.12.874792,0
10.1101/2019.12.12.874818,0
10.1101/2019.12.12.874826,0
10.1101/2019.12.12.874859,0
10.1101/2019.12.12.874891,0
10.1101/2019.12.12.874917,0
10.1101/2019.12.12.874925,0
10.1101/2019.12.12.874933,0
10.1101/2019.12.12.874966,0
10.1101/2019.12.12.874974,4
10.1101/2019.12.12.874990,0
10.1101/2019.12.13.19013904,0
10.1101/2019.12.13.19014217,0
10.1101/2019.12.13.19014381,0
10.1101/2019.12.13.19014704,0
10.1101/2019.12.13.19014837,0
10.1101/2019.12.13.19014860,0
10.1101/2019.12.13.19014878,0
10.1101/2019.12.13.19014894,0
10.1101/2019.12.13.19014902,0
10.1101/2019.12.13.19014910,0
10.1101/2019.12.13.19014928,0
10.1101/2019.12.13.862466,0
10.1101/2019.12.13.862532,0
10.1101/2019.12.13.867358,0
10.1101/2019.12.13.870220,0
10.1101/2019.12.13.870410,0
10.1101/2019.12.13.871558,0
10.1101/2019.12.13.871723,0
10.1101/2019.12.13.871830,0
10.1101/2019.12.13.872499,0
10.1101/2019.12.13.872820,0
10.1101/2019.12.13.873612,0
10.1101/2019.12.13.874339,0
10.1101/2019.12.13.874347,0
10.1101/2019.12.13.874362,0
10.1101/2019.12.13.874420,0
10.1101/2019.12.13.874495,0
10.1101/2019.12.13.874545,0
10.1101/2019.12.13.874651,0
10.1101/2019.12.13.874669,0
10.1101/2019.12.13.874743,0
10.1101/2019.12.13.874776,0
10.1101/2019.12.13.874883,0
10.1101/2019.12.13.874909,0
10.1101/2019.12.13.875005,0
10.1101/2019.12.13.875013,0
10.1101/2019.12.13.875021,0
10.1101/2019.12.13.875062,0
10.1101/2019.12.13.875096,0
10.1101/2019.12.13.875104,0
10.1101/2019.12.13.875112,0
10.1101/2019.12.13.875138,0
10.1101/2019.12.13.875146,0
10.1101/2019.12.13.875153,0
10.1101/2019.12.13.875161,0
10.1101/2019.12.13.875179,0
10.1101/2019.12.13.875187,0
10.1101/2019.12.13.875195,0
10.1101/2019.12.13.875203,0
10.1101/2019.12.13.875211,0
10.1101/2019.12.13.875229,0
10.1101/2019.12.13.875237,0
10.1101/2019.12.13.875252,0
10.1101/2019.12.13.875278,0
10.1101/2019.12.13.875286,0
10.1101/2019.12.13.875310,0
10.1101/2019.12.13.875336,0
10.1101/2019.12.13.875344,0
10.1101/2019.12.13.875351,0
10.1101/2019.12.13.875369,0
10.1101/2019.12.13.875393,0
10.1101/2019.12.13.875401,0
10.1101/2019.12.13.875419,0
10.1101/2019.12.13.875427,0
10.1101/2019.12.13.875443,0
10.1101/2019.12.13.875476,0
10.1101/2019.12.13.875492,0
10.1101/2019.12.13.875518,0
10.1101/2019.12.13.875526,0
10.1101/2019.12.13.875534,0
10.1101/2019.12.13.875542,0
10.1101/2019.12.13.875559,0
10.1101/2019.12.13.875575,0
10.1101/2019.12.13.875625,0
10.1101/2019.12.13.875633,0
10.1101/2019.12.13.875658,0
10.1101/2019.12.13.875666,0
10.1101/2019.12.13.875682,0
10.1101/2019.12.13.875690,0
10.1101/2019.12.13.875708,0
10.1101/2019.12.13.875716,0
10.1101/2019.12.13.875724,0
10.1101/2019.12.13.875765,0
10.1101/2019.12.13.875773,0
10.1101/2019.12.13.875781,0
10.1101/2019.12.13.875823,0
10.1101/2019.12.13.875831,0
10.1101/2019.12.13.875849,0
