doi,score,twitter,facebook,blogs,news,wikipedia,policies,published_doi,published_score,published_twitter,published_facebook,published_blogs,published_news,published_wikipedia,published_policies
10.1101/774810,9.58,6,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774828,14.4,27,0,0,0,0,0,10.1111/tpj.14705,10.25,18,0,0,0,0,0
10.1101/774844,13.7,25,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774851,12.084,8,0,1,0,0,0,10.3390/ijms20205198,0,0,0,0,0,0,0
10.1101/774869,1.5,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774877,1.6,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774885,7,11,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774893,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774901,1.85,4,0,0,0,0,0,10.1021/acs.jpcb.9b08891,0.25,1,0,0,0,0,0
10.1101/774919,6.05,13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774935,10.25,17,0,0,0,0,0,10.1016/j.bpj.2019.11.1603,0,0,0,0,0,0,0
10.1101/774943,1.25,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774950,2.25,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774968,32.6,54,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774976,2.35,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774984,2.5,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/774992,21.53,25,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775015,1,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775031,1.75,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775049,15.75,31,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775056,8.5,19,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775064,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775072,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775080,33.8,55,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775098,0.5,2,0,0,0,0,0,10.1186/s12864-020-6461-z,1.25,2,0,0,0,0,0
10.1101/775106,62.9,108,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775114,22.284,24,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775122,3.25,5,0,0,0,0,0,10.1021/acs.jproteome.9b00633,2.25,6,0,0,0,0,0
10.1101/775130,3.85,8,1,0,0,0,0,10.1534/g3.119.400726,2,3,0,0,0,0,0
10.1101/775148,4.9,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775155,4.6,9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775163,0.75,3,0,0,0,0,0,10.3389/fncom.2020.00012,0.5,2,0,0,0,0,0
10.1101/775171,8.184,4,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775197,3.6,8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775221,14.85,22,0,0,0,0,0,10.1002/tpg2.20009,0.5,1,0,0,0,0,0
10.1101/775239,14.4,22,0,0,0,0,0,10.1111/1755-0998.13163,26.7,44,0,0,0,0,0
10.1101/775262,3.45,5,0,0,0,0,0,10.1016/j.ygcen.2020.113444,46.5,32,0,0,3,0,0
10.1101/775270,1,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775288,114.2,153,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775296,7.2,10,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775312,44.58,68,0,1,0,0,0,10.1534/g3.120.401133,52.15,85,0,0,0,0,0
10.1101/775320,2.5,4,0,0,0,0,0,10.1002/pros.23925,1,2,0,0,0,0,0
10.1101/775338,5.85,16,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775346,0.75,3,0,0,0,0,0,10.1364/boe.377740,0.25,1,0,0,0,0,0
10.1101/775353,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775361,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775387,3.1,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775403,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775411,10.05,21,0,0,0,0,0,10.1128/msphere.00693-19,10.65,19,0,0,0,0,0
10.1101/775437,1,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775445,7.3,12,0,0,0,0,0,10.1128/aac.01909-19,9.6,16,0,0,0,0,0
10.1101/775452,1.5,3,0,0,0,0,0,10.1128/aac.01893-19,1.6,4,0,0,0,0,0
10.1101/775478,3,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775486,3.1,7,0,0,0,0,0,10.1016/j.ecoinf.2020.101057,0,0,0,0,0,0,0
10.1101/775494,6.2,12,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775502,0.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775510,0.75,2,0,0,0,0,0,10.1007/s13199-020-00665-0,0,0,0,0,0,0,0
10.1101/775528,5.6,11,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775536,37.95,64,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775569,1,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
